,samplingperiod,partishun,prop,z_pheno_mod
588,59,PS.I,0.033916849,-0.154777713
589,59,UGM.I,0.045454545,0.071215316
590,59,UGM.II,0.030075188,-0.230025716
591,60,AB.II,0.017421603,-0.477876061
592,60,FS.I,0.040128411,-0.033109606
593,60,LG.I,0.019283747,-0.441401578
594,60,LG.II,0.024539877,-0.338447846
595,60,LS.I,0.003802281,-0.74464263
596,60,LS.II,0.01875,-0.451856265
597,60,PS.I,0.029411765,-0.243020427
598,60,UGM.I,0.040752351,-0.020888264
599,60,UGM.II,0.028384279,-0.263146151
600,61,AB.I,0.035222052,-0.129212229
601,61,AB.II,0.015873016,-0.508208792
602,61,FS.I,0.038496792,-0.065068716
603,61,LG.I,0.004901961,-0.723102812
604,61,LG.II,0.020881671,-0.410102464
605,61,LS.I,0.00255102,-0.769151531
606,61,LS.II,0.025437202,-0.320871625
607,61,PS.I,0.019065777,-0.445671028
608,61,UGM.I,0.032520325,-0.182131929
609,61,UGM.II,0.011235955,-0.599036578
610,62,AB.II,0.031055901,-0.210816143
611,62,FS.I,0.028742515,-0.256129263
612,62,LG.I,0.01183432,-0.587316197
613,62,LG.II,0.021028037,-0.407235523
614,62,LS.I,0.022900763,-0.370553763
615,62,LS.II,0.032679739,-0.179009442
616,62,PS.I,0.016438356,-0.497135268
617,62,UGM.I,0.032332564,-0.185809685
618,62,UGM.II,0.018726592,-0.45231477
619,63,AB.I,0.050691244,0.173788427
620,63,AB.II,0.025835866,-0.313062842
621,63,FS.I,0.042813456,0.019483336
622,63,LG.I,0.011221945,-0.599310995
623,63,LG.II,0.011655012,-0.590828365
624,63,LS.I,0.023166023,-0.365358023
625,63,LS.II,0.028571429,-0.259480394
626,63,PS.I,0.011216566,-0.599416358
627,63,UGM.I,0.04091653,-0.017672427
628,63,UGM.II,0.022514071,-0.37812804
629,64,AB.II,0.01242236,-0.575798031
630,64,FS.I,0.026950355,-0.291232956
631,64,LG.I,0.017751479,-0.471414651
632,64,LG.II,0.011600928,-0.59188772
633,64,LS.I,0.018939394,-0.448146537
634,64,LS.II,0.023026316,-0.368094522
635,64,PS.I,0.016551724,-0.494914688
636,64,UGM.I,0.039534884,-0.044735237
637,64,UGM.II,0.020676692,-0.414117458
